# generated by lexgen from seed/seed.json + domain/model.json — do not edit
# surface	kind	tag	value   (value = lemma for forms, suggestion for rejects, capitalized term for terms, capitalized parent category for member_of)
comprehension	form	NOUN_SG	comprehension
comprehensions	form	NOUN_PL	comprehension
compute	form	VERB_TRANS_BASE	compute
compute	reject_gap	NOUN	no already-enabled word covers this sense yet
computed	form	VERB_TRANS_ED	compute
computes	form	VERB_TRANS_3SG	compute
computing	form	VERB_TRANS_ING	compute
concept	form	NOUN_SG	concept
concepts	form	NOUN_PL	concept
conclusion	form	NOUN_SG	conclusion
conclusions	form	NOUN_PL	conclusion
condition	form	NOUN_SG	condition
condition	reject_advice	VERB	the verb sense ("to condition a response"; "to condition hair") is not enabled; angloform allows one sense per word
conditional	term	-	Conditional
conditionals	term	-	Conditionals
conditions	form	NOUN_PL	condition
conflict	form	VERB_INTRANS_BASE	conflict
conflict	reject_advice	NOUN	an event, which causes a problem
conflicted	form	VERB_INTRANS_ED	conflict
conflicting	form	VERB_INTRANS_ING	conflict
conflicts	form	VERB_INTRANS_3SG	conflict
confuse	form	VERB_TRANS_BASE	confuse
confused	form	VERB_TRANS_ED	confuse
confuses	form	VERB_TRANS_3SG	confuse
confusing	form	VERB_TRANS_ING	confuse
conjunct	term	-	Conjunct
conjunction	form	NOUN_SG	conjunction
conjunctions	form	NOUN_PL	conjunction
conjuncts	term	-	Conjuncts
connective	form	NOUN_SG	connective
connective	reject_advice	ADJ	the adjective sense ("connective tissue") is not enabled; angloform allows one sense per word
connectives	form	NOUN_PL	connective
consequent	form	NOUN_SG	consequent
consequent	reject_advice	ADJ	the adjective sense (formal — "consequent damage") is not enabled; angloform allows one sense per word
consequents	form	NOUN_PL	consequent
consider	form	VERB_TRANS_BASE	consider
considered	form	VERB_TRANS_ED	consider
considering	form	VERB_TRANS_ING	consider
considers	form	VERB_TRANS_3SG	consider
consistent	form	ADJ_LONG	consistent
constituent	term	-	Constituent
constituents	term	-	Constituents
constraint	form	NOUN_SG	constraint
constraints	form	NOUN_PL	constraint
construction	form	NOUN_SG	construction
constructions	form	NOUN_PL	construction
consultant	form	NOUN_SG	consultant
consultants	form	NOUN_PL	consultant
consumer	form	NOUN_SG	consumer
consumers	form	NOUN_PL	consumer
contain	form	VERB_TRANS_BASE	contain
contained	form	VERB_TRANS_ED	contain
container	form	NOUN_SG	container
containers	form	NOUN_PL	container
containing	form	VERB_TRANS_ING	contain
contains	form	VERB_TRANS_3SG	contain
context	form	NOUN_SG	context
context need	term	-	Context Need
context needs	term	-	Context Needs
contexts	form	NOUN_PL	context
continuation	form	NOUN_SG	continuation
continuations	form	NOUN_PL	continuation
continuities	form	NOUN_PL	continuity
continuity	form	NOUN_SG	continuity
contraction	form	NOUN_SG	contraction
contractions	form	NOUN_PL	contraction
contradict	form	VERB_TRANS_BASE	contradict
contradicted	form	VERB_TRANS_ED	contradict
contradicting	form	VERB_TRANS_ING	contradict
contradicts	form	VERB_TRANS_3SG	contradict
contrast	form	NOUN_SG	contrast
contrast	reject_advice	VERB	the verb sense ("to contrast two things") is not enabled; angloform allows one sense per word
contrasts	form	NOUN_PL	contrast
contributor	form	NOUN_SG	contributor
contributors	form	NOUN_PL	contributor
convention	form	NOUN_SG	convention
conventions	form	NOUN_PL	convention
coordination	term	-	Coordination
coordinations	term	-	Coordinations
coordinator	form	NOUN_SG	coordinator
coordinators	form	NOUN_PL	coordinator
copies	form	NOUN_PL	copy
copula	term	-	Copula
copular	form	ADJ_LONG	copular
copulas	term	-	Copulas
copy	form	NOUN_SG	copy
copy	reject	VERB	duplicate
core	form	ADJ_LONG	core
core	reject_advice	NOUN	the noun sense (an apple core, the earth's core) is not enabled; angloform allows one sense per word
core	reject_advice	VERB	the verb sense ("to core an apple") is not enabled; angloform allows one sense per word
corner	form	NOUN_SG	corner
corner	reject_advice	VERB	the verb sense ("to corner the market"; "to corner an animal") is not enabled; angloform allows one sense per word
corners	form	NOUN_PL	corner
corollaries	form	NOUN_PL	corollary
corollary	form	NOUN_SG	corollary
corollary	reject_advice	ADJ	the adjective (attributive) sense ("a corollary benefit") is not enabled; angloform allows one sense per word
corpora	form	NOUN_PL	corpus
corpse	form	NOUN_SG	corpse
corpses	form	NOUN_PL	corpse
corpus	form	NOUN_SG	corpus
correct	form	ADJ_LONG	correct
correct	reject_advice	VERB	the verb sense ("to correct a mistake") is not enabled; angloform allows one sense per word
cost	form	VERB_TRANS_BASE	cost
cost	reject	NOUN	expense
costed	form	VERB_TRANS_ED	cost
costing	form	VERB_TRANS_ING	cost
costs	form	VERB_TRANS_3SG	cost
cottage	form	NOUN_SG	cottage
cottages	form	NOUN_PL	cottage
could	ban	-	for possibility rephrase the sentence, or state the fact plainly (ADR 0009, ADR 0042)
count	form	VERB_TRANS_BASE	count
count	reject_advice	NOUN	the noun sense (a count — a tally, or a nobleman's title) is not enabled; angloform allows one sense per word
counted	form	VERB_TRANS_ED	count
counting	form	VERB_TRANS_ING	count
counts	form	VERB_TRANS_3SG	count
cover	form	VERB_TRANS_BASE	cover
cover	reject_advice	NOUN	the noun sense (a cover, e.g. of a book) is not enabled; angloform allows one sense per word
coverage	term	-	Coverage
coverages	term	-	Coverages
covered	form	VERB_TRANS_ED	cover
covering	form	VERB_TRANS_ING	cover
covers	form	VERB_TRANS_3SG	cover
create	form	VERB_TRANS_BASE	create
created	form	VERB_TRANS_ED	create
creates	form	VERB_TRANS_3SG	create
creating	form	VERB_TRANS_ING	create
creature	form	NOUN_SG	creature
creatures	form	NOUN_PL	creature
curate	form	VERB_TRANS_BASE	curate
curate	reject_advice	NOUN	the noun sense (an assistant to a vicar or rector, ecclesiastical) is not enabled; angloform allows one sense per word
curated	form	VERB_TRANS_ED	curate
curates	form	VERB_TRANS_3SG	curate
curating	form	VERB_TRANS_ING	curate
curation	form	NOUN_SG	curation
curations	form	NOUN_PL	curation
current	form	ADJ_LONG	current
current	reject_advice	NOUN	the noun sense (a current, e.g. electrical or oceanic) is not enabled; angloform allows one sense per word
customer	form	NOUN_SG	customer
customers	form	NOUN_PL	customer
danger	form	NOUN_SG	danger
dangerous	form	ADJ_LONG	dangerous
dangers	form	NOUN_PL	danger
dash	form	NOUN_SG	dash
dash	reject_advice	ADJ	the reference data attests an adjectival use of "dash"; no common meaning could be confirmed — not enabled
dash	reject_advice	ADV	the reference data attests an adverbial use of "dash"; no common meaning could be confirmed — angloform has no adverb category regardless
dash	reject_advice	VERB	the verb sense ("to dash across the street") is not enabled; angloform allows one sense per word
dashes	form	NOUN_PL	dash
data	form	NOUN_SG	data
database	form	NOUN_SG	database
databases	form	NOUN_PL	database
day	form	NOUN_SG	day
days	form	NOUN_PL	day
death	form	NOUN_SG	death
deaths	form	NOUN_PL	death
debt	form	NOUN_SG	debt
debts	form	NOUN_PL	debt
december	form	NOUN_SG	december
decembers	form	NOUN_PL	december
decide	form	VERB_TRANS_BASE	decide
decided	form	VERB_TRANS_ED	decide
decides	form	VERB_TRANS_3SG	decide
deciding	form	VERB_TRANS_ING	decide
decimal	form	NOUN_SG	decimal
decimal	reject_advice	ADJ	the adjective sense ("the decimal system") is not enabled; angloform allows one sense per word
decimals	form	NOUN_PL	decimal
decision	form	NOUN_SG	decision
decisions	form	NOUN_PL	decision
declaration	form	NOUN_SG	declaration
declarations	form	NOUN_PL	declaration
declare	form	VERB_TRANS_BASE	declare
declared	form	VERB_TRANS_ED	declare
declared loss	term	-	Declared Loss
declared losses	term	-	Declared Losses
declares	form	VERB_TRANS_3SG	declare
declaring	form	VERB_TRANS_ING	declare
decompose	form	VERB_TRANS_BASE	decompose
decomposed	form	VERB_TRANS_ED	decompose
decomposes	form	VERB_TRANS_3SG	decompose
decomposing	form	VERB_TRANS_ING	decompose
decoration	form	NOUN_SG	decoration
decorations	form	NOUN_PL	decoration
deep	form	ADJ	deep
deep	reject_advice	ADV	the adverbial sense ("dig deep", "run deep") is not enabled; angloform has no adverb category
deep	reject_advice	NOUN	the noun sense (poetic — "the deep", meaning the sea) is not enabled; angloform allows one sense per word
deeper	form	ADJ_CMP	deep
deepest	form	ADJ_SUP	deep
defense	form	NOUN_SG	defense
defenses	form	NOUN_PL	defense
defer	form	VERB_TRANS_BASE	defer
deferred	form	VERB_TRANS_ED	defer
deferring	form	VERB_TRANS_ING	defer
defers	form	VERB_TRANS_3SG	defer
define	form	VERB_TRANS_BASE	define
defined	form	VERB_TRANS_ED	define
defines	form	VERB_TRANS_3SG	define
defining	form	VERB_TRANS_ING	define
definite	form	NOUN_SG	definite
definite	reject_advice	ADJ	the adjective sense ("a definite answer") is not enabled; angloform allows one sense per word
definites	form	NOUN_PL	definite
definition	form	NOUN_SG	definition
definitions	form	NOUN_PL	definition
degree	form	NOUN_SG	degree
degree	reject_advice	ADJ	the reference data attests an adjectival use of "degree"; no common meaning could be confirmed — not enabled
degrees	form	NOUN_PL	degree
delete	form	VERB_TRANS_BASE	delete
deleted	form	VERB_TRANS_ED	delete
deletes	form	VERB_TRANS_3SG	delete
deleting	form	VERB_TRANS_ING	delete
deliberate	form	ADJ_LONG	deliberate
deliberate	reject_advice	VERB	the verb sense ("to deliberate over a decision") is not enabled; angloform allows one sense per word
delight	form	NOUN_SG	delight
delight	reject_advice	VERB	the verb sense ("this delights me") is not enabled; angloform allows one sense per word
delights	form	NOUN_PL	delight
demonstrative	form	NOUN_SG	demonstrative
demonstrative	reject_advice	ADJ	the adjective sense (a demonstrative person, or "demonstrative pronoun") is not enabled; angloform allows one sense per word
demonstratives	form	NOUN_PL	demonstrative
dense	form	ADJ_LONG	dense
densities	form	NOUN_PL	density
density	form	NOUN_SG	density
depend	form	VERB_INTRANS_BASE	depend
depended	form	VERB_INTRANS_ED	depend
dependency length	term	-	Dependency Length
dependency lengths	term	-	Dependency Lengths
depending	form	VERB_INTRANS_ING	depend
depends	form	VERB_INTRANS_3SG	depend
derive	form	VERB_TRANS_BASE	derive
derived	form	VERB_TRANS_ED	derive
derives	form	VERB_TRANS_3SG	derive
deriving	form	VERB_TRANS_ING	derive
describe	form	VERB_TRANS_BASE	describe
described	form	VERB_TRANS_ED	describe
describes	form	VERB_TRANS_3SG	describe
describing	form	VERB_TRANS_ING	describe
design	form	NOUN_SG	design
design	reject	VERB	plan
designs	form	NOUN_PL	design
despair	form	NOUN_SG	despair
despair	reject_advice	VERB	the verb sense ("to despair") is deferred; write "X is filled with despair" instead (same as "fear")
despairs	form	NOUN_PL	despair
determiner	form	NOUN_SG	determiner
determiners	form	NOUN_PL	determiner
deterministic	form	ADJ_LONG	deterministic
dictionaries	form	NOUN_PL	dictionary
dictionary	form	NOUN_SG	dictionary
did	form	NEG_AUX_PAST	did
diff	form	NOUN_SG	diff
differ	form	VERB_INTRANS_BASE	differ
differed	form	VERB_INTRANS_ED	differ
difference	form	NOUN_SG	difference
difference	reject_advice	VERB	the verb sense (rare — e.g. heraldry "to difference a coat of arms") is not enabled; angloform allows one sense per word
differences	form	NOUN_PL	difference
different	form	ADJ_LONG	different
differing	form	VERB_INTRANS_ING	differ
differs	form	VERB_INTRANS_3SG	differ
difficulties	form	NOUN_PL	difficulty
difficulty	form	NOUN_SG	difficulty
diffs	form	NOUN_PL	diff
digit	form	NOUN_SG	digit
digits	form	NOUN_PL	digit
dimension	form	NOUN_SG	dimension
dimension	reject_advice	VERB	the verb sense (engineering jargon — "to dimension a drawing", meaning to add measurements to it) is not enabled; angloform allows one sense per word
dimensions	form	NOUN_PL	dimension
directed	form	ADJ_LONG	directed
disagree	form	VERB_INTRANS_BASE	disagree
disagreed	form	VERB_INTRANS_ED	disagree
disagreeing	form	VERB_INTRANS_ING	disagree
disagrees	form	VERB_INTRANS_3SG	disagree
disaster	form	NOUN_SG	disaster
disasters	form	NOUN_PL	disaster
discipline	form	NOUN_SG	discipline
discipline	reject_advice	VERB	the verb sense ("to discipline someone") is not enabled; angloform allows one sense per word
disciplines	form	NOUN_PL	discipline
discourse	form	NOUN_SG	discourse
discourse	reject_advice	VERB	the verb sense ("to discourse upon a subject", formal) is not enabled; angloform allows one sense per word
discourse layer	term	-	Discourse Layer
discourse layers	term	-	Discourse Layers
discourses	form	NOUN_PL	discourse
dissertation	form	NOUN_SG	dissertation
dissertations	form	NOUN_PL	dissertation
distance	form	NOUN_SG	distance
distance	reject_advice	VERB	the verb sense ("to distance oneself from something") is not enabled; angloform allows one sense per word
distances	form	NOUN_PL	distance
distinct	form	ADJ_LONG	distinct
do	form	NEG_AUX_BASE	do
document	form	NOUN_SG	document
document	reject	VERB	record
documents	form	NOUN_PL	document
doer	form	NOUN_SG	doer
doers	form	NOUN_PL	doer
does	form	NEG_AUX_3SG	does
dogfood	term	-	Dogfood
dogfoods	term	-	Dogfoods
domain	form	NOUN_SG	domain
domains	form	NOUN_PL	domain
download	form	VERB_TRANS_BASE	download
downloaded	form	VERB_TRANS_ED	download
downloading	form	VERB_TRANS_ING	download
downloads	form	VERB_TRANS_3SG	download
drift	form	VERB_INTRANS_BASE	drift
drift	reject_advice	NOUN	a thing, which grows in a place
drifted	form	VERB_INTRANS_ED	drift
drifting	form	VERB_INTRANS_ING	drift
drifts	form	VERB_INTRANS_3SG	drift
drop	form	VERB_TRANS_BASE	drop
drop	reject_advice	NOUN	the noun sense (a drop, e.g. of water) is not enabled; angloform allows one sense per word
dropped	form	VERB_TRANS_ED	drop
dropping	form	VERB_TRANS_ING	drop
drops	form	VERB_TRANS_3SG	drop
duplicate	form	VERB_TRANS_BASE	duplicate
duplicate	reject_advice	ADJ	identical
duplicate	reject_advice	NOUN	a copy, which matches a thing
duplicated	form	VERB_TRANS_ED	duplicate
duplicates	form	VERB_TRANS_3SG	duplicate
duplicating	form	VERB_TRANS_ING	duplicate
duration	form	NOUN_SG	duration
durations	form	NOUN_PL	duration
each	ban	-	write "every" with a singular noun (ADR 0014)
earn	form	VERB_TRANS_BASE	earn
earned	form	VERB_TRANS_ED	earn
earning	form	VERB_TRANS_ING	earn
earns	form	VERB_TRANS_3SG	earn
easier	form	ADJ_CMP	easy
easiest	form	ADJ_SUP	easy
easy	form	ADJ	easy
easy	reject_advice	ADV	the adverbial sense ("take it easy", "go easy") is not enabled; angloform has no adverb category
easy	reject_advice	VERB	the reference data attests a verb use of "easy"; no common meaning could be confirmed — not enabled
edit	form	VERB_TRANS_BASE	edit
edit	reject	NOUN	revision
edited	form	VERB_TRANS_ED	edit
editing	form	VERB_TRANS_ING	edit
edits	form	VERB_TRANS_3SG	edit
effect	form	NOUN_SG	effect
effect	reject	VERB	cause
effects	form	NOUN_PL	effect
effortless	form	ADJ_LONG	effortless
eight	ban	-	counts are digits: write "3 files", not "three files" (ADR 0022)
embedding	form	NOUN_SG	embedding
embedding depth	term	-	Embedding Depth
embedding depths	term	-	Embedding Depths
embeddings	form	NOUN_PL	embedding
emphasis	form	NOUN_SG	emphasis
emphasises	form	NOUN_PL	emphasis
emphatic	form	ADJ_LONG	emphatic
emphatic	reject_advice	NOUN	the reference data attests a noun use of "emphatic"; no common meaning could be confirmed — not enabled
employee	form	NOUN_SG	employee
employees	form	NOUN_PL	employee
employer	form	NOUN_SG	employer
employers	form	NOUN_PL	employer
emptier	form	ADJ_CMP	empty
emptiest	form	ADJ_SUP	empty
empty	form	ADJ	empty
empty	reject_advice	NOUN	a thing, which does not hold items
empty	reject_advice	VERB	the verb sense ("to empty a container") is not enabled; angloform allows one sense per word
enable	form	VERB_TRANS_BASE	enable
enabled	form	VERB_TRANS_ED	enable
enables	form	VERB_TRANS_3SG	enable
enabling	form	VERB_TRANS_ING	enable
end	form	VERB_INTRANS_BASE	end
end	reject_advice	NOUN	the noun sense (an end) is not enabled; angloform allows one sense per word
ended	form	VERB_INTRANS_ED	end
ending	form	VERB_INTRANS_ING	end
ends	form	VERB_INTRANS_3SG	end
enforce	form	VERB_TRANS_BASE	enforce
enforced	form	VERB_TRANS_ED	enforce
enforces	form	VERB_TRANS_3SG	enforce
enforcing	form	VERB_TRANS_ING	enforce
enter	form	VERB_TRANS_BASE	enter
entered	form	VERB_TRANS_ED	enter
entering	form	VERB_TRANS_ING	enter
enters	form	VERB_TRANS_3SG	enter
entries	form	NOUN_PL	entry
entry	form	NOUN_SG	entry
enumerate	form	VERB_TRANS_BASE	enumerate
enumerated	form	VERB_TRANS_ED	enumerate
enumerates	form	VERB_TRANS_3SG	enumerate
enumerating	form	VERB_TRANS_ING	enumerate
enumeration	term	-	Enumeration
enumerations	term	-	Enumerations
error	form	NOUN_SG	error
errors	form	NOUN_PL	error
event	form	NOUN_SG	event
events	form	NOUN_PL	event
every	form	QUANT_UNIV	every
evidence	form	NOUN_SG	evidence
evidence	reject_advice	VERB	the verb sense (formal — "this evidences a trend") is not enabled; angloform allows one sense per word
evidences	form	NOUN_PL	evidence
exact	form	ADJ_LONG	exact
exact	reject_advice	VERB	the verb sense ("to exact revenge" or "to exact a toll") is not enabled; angloform allows one sense per word
example	form	NOUN_SG	example
example	reject_advice	VERB	the verb sense (rare — to exemplify) is not enabled; angloform allows one sense per word
examples	form	NOUN_PL	example
exception	form	NOUN_SG	exception
exceptions	form	NOUN_PL	exception
exclude	form	VERB_TRANS_BASE	exclude
excluded	form	VERB_TRANS_ED	exclude
excludes	form	VERB_TRANS_3SG	exclude
excluding	form	VERB_TRANS_ING	exclude
exist	form	VERB_INTRANS_BASE	exist
existed	form	VERB_INTRANS_ED	exist
existential	form	ADJ_LONG	existential
existing	form	VERB_INTRANS_ING	exist
exists	form	VERB_INTRANS_3SG	exist
expand	form	VERB_TRANS_BASE	expand
expanded	form	VERB_TRANS_ED	expand
expanding	form	VERB_TRANS_ING	expand
expands	form	VERB_TRANS_3SG	expand
expect	form	VERB_TRANS_BASE	expect
expectation	form	NOUN_SG	expectation
expectations	form	NOUN_PL	expectation
expected	form	VERB_TRANS_ED	expect
expecting	form	VERB_TRANS_ING	expect
expects	form	VERB_TRANS_3SG	expect
expense	form	NOUN_SG	expense
expense	reject_advice	VERB	the verb sense ("to expense a purchase", business jargon) is not enabled; angloform allows one sense per word
expenses	form	NOUN_PL	expense
expensive	form	ADJ_LONG	expensive
explain	form	VERB_TRANS_BASE	explain
explained	form	VERB_TRANS_ED	explain
explaining	form	VERB_TRANS_ING	explain
explains	form	VERB_TRANS_3SG	explain
explanation	form	NOUN_SG	explanation
explanations	form	NOUN_PL	explanation
explicit	form	ADJ_LONG	explicit
express	ban	-	write "say" ("the language can say a Prohibition")
expresses	ban	-	write "says"
expressive	form	ADJ_LONG	expressive
expressiveness	form	NOUN_SG	expressiveness
expressivenesses	form	NOUN_PL	expressiveness
extent	form	NOUN_SG	extent
extents	form	NOUN_PL	extent
extractor	form	NOUN_SG	extractor
extractors	form	NOUN_PL	extractor
fact	form	NOUN_SG	fact
factories	form	NOUN_PL	factory
factory	form	NOUN_SG	factory
facts	form	NOUN_PL	fact
fail	form	VERB_INTRANS_BASE	fail
fail	reject_advice	NOUN	an event, which does not give a result
failed	form	VERB_INTRANS_ED	fail
failing	form	VERB_INTRANS_ING	fail
fails	form	VERB_INTRANS_3SG	fail
fall	form	VERB_INTRANS_BASE	fall
fall	reject_advice	NOUN	the noun sense (a fall; American English for autumn) is not enabled; angloform allows one sense per word
fallen	form	VERB_INTRANS_ED	fall
falling	form	VERB_INTRANS_ING	fall
falls	form	VERB_INTRANS_3SG	fall
false	form	ADJ_LONG	false
false	reject_advice	ADV	the adverbial sense ("play someone false", "sing false") is not enabled; angloform has no adverb category
familiar	form	ADJ_LONG	familiar
familiar	reject_advice	NOUN	the noun sense (a witch's familiar, folklore) is not enabled; angloform allows one sense per word
familiarities	form	NOUN_PL	familiarity
familiarity	form	NOUN_SG	familiarity
father	form	NOUN_SG	father
father	reject_advice	VERB	the verb sense ("to father a child") is not enabled; angloform allows one sense per word
fathers	form	NOUN_PL	father
fear	form	NOUN_SG	fear
fear	reject_advice	VERB	the verb sense ("to fear something") is deferred; write "X is filled with fear" instead
fears	form	NOUN_PL	fear
feature	form	NOUN_SG	feature
feature	reject_advice	VERB	the verb sense ("the movie features an actor") is not enabled; angloform allows one sense per word
features	form	NOUN_PL	feature
februaries	form	NOUN_PL	february
february	form	NOUN_SG	february
fell	form	VERB_INTRANS_ED	fall
fence	form	NOUN_SG	fence
fence	reject_advice	VERB	the verb sense ("to fence a yard"; the sport of fencing; slang "to fence stolen goods") is not enabled; angloform allows one sense per word
fences	form	NOUN_PL	fence
fetch	form	VERB_TRANS_BASE	fetch
fetch	reject_advice	NOUN	the noun sense (a fetch, e.g. a memory fetch in computing, or archaically a trick) is not enabled; angloform allows one sense per word
fetched	form	VERB_TRANS_ED	fetch
fetches	form	VERB_TRANS_3SG	fetch
fetching	form	VERB_TRANS_ING	fetch
fewer	ban	-	comparatives of a quantity are deferred (ADR 0030) - write "a small number of <nouns>", or a Comparative of an adjective with "than"
fiat	form	ADJ	fiat
fiat	reject_advice	NOUN	the noun sense (a fiat, a decree) is not enabled; angloform allows one sense per word
fiater	form	ADJ_CMP	fiat
fiatest	form	ADJ_SUP	fiat
field	form	NOUN_SG	field
field	reject_advice	VERB	the verb sense ("to field a question" or "to field a ball") is not enabled; angloform allows one sense per word
fields	form	NOUN_PL	field
file	form	NOUN_SG	file
file	reject	VERB	submit
files	form	NOUN_PL	file
find	form	VERB_TRANS_BASE	find
find	reject	NOUN	discovery
findability	form	NOUN_SG	findability
findabilitys	form	NOUN_PL	findability
finding	form	VERB_TRANS_ING	find
findings	ban	-	write "results" ("the file describes the results")
finds	form	VERB_TRANS_3SG	find
fire	form	NOUN_SG	fire
fire	reject_gap	VERB	no already-enabled word covers this sense yet
fires	form	NOUN_PL	fire
first	form	ORD	first
first token	term	-	First Token
first tokens	term	-	First Tokens
five	ban	-	counts are digits: write "3 files", not "three files" (ADR 0022)
fix	form	VERB_TRANS_BASE	fix
fix	reject_advice	NOUN	a thing, which causes a problem
fixed	form	VERB_TRANS_ED	fix
fixes	form	VERB_TRANS_3SG	fix
fixing	form	VERB_TRANS_ING	fix
flag	form	VERB_TRANS_BASE	flag
flag	reject_advice	NOUN	the noun sense (a flag) is not enabled; angloform allows one sense per word
flagged	form	VERB_TRANS_ED	flag
flagging	form	VERB_TRANS_ING	flag
flags	form	VERB_TRANS_3SG	flag
flat	form	ADJ	flat
flat	reject_advice	ADV	the adverbial sense ("turned him down flat", "ran flat out") is not enabled; angloform has no adverb category
flat	reject_advice	NOUN	the noun sense (a flat — a British apartment, a musical flat, or a flat tire) is not enabled; angloform allows one sense per word
flat	reject_advice	VERB	the verb sense (music jargon — "to flat a note", i.e. lower its pitch) is not enabled; angloform allows one sense per word
flatten	form	VERB_TRANS_BASE	flatten
flattened	form	VERB_TRANS_ED	flatten
flattening	form	VERB_TRANS_ING	flatten
flattens	form	VERB_TRANS_3SG	flatten
flatter	form	ADJ_CMP	flat
flattest	form	ADJ_SUP	flat
floor	form	NOUN_SG	floor
floor	reject_advice	VERB	the verb sense ("to floor an opponent"; "to floor the accelerator") is not enabled; angloform allows one sense per word
floors	form	NOUN_PL	floor
fold	form	VERB_TRANS_BASE	fold
fold	reject_advice	NOUN	the noun sense (a fold, e.g. in fabric or geology; or a sheep pen) is not enabled; angloform allows one sense per word
folded	form	VERB_TRANS_ED	fold
folder	form	NOUN_SG	folder
folders	form	NOUN_PL	folder
folding	form	VERB_TRANS_ING	fold
folds	form	VERB_TRANS_3SG	fold
follow	form	VERB_TRANS_BASE	follow
follow	reject_advice	NOUN	the noun sense (billiards jargon — a type of shot) is not enabled; angloform allows one sense per word
followed	form	VERB_TRANS_ED	follow
following	form	VERB_TRANS_ING	follow
follows	form	VERB_TRANS_3SG	follow
for	form	PREP_V	for
force	form	NOUN_SG	force
force	reject_advice	VERB	the verb sense ("to force a door open") is not enabled; angloform allows one sense per word
forces	form	NOUN_PL	force
form tag	term	-	Form Tag
form tags	term	-	Form Tags
format	form	NOUN_SG	format
format	reject_advice	VERB	the verb sense ("to format a document") is not enabled; angloform allows one sense per word
formats	form	NOUN_PL	format
formulation	form	NOUN_SG	formulation
formulations	form	NOUN_PL	formulation
fortress	form	NOUN_SG	fortress
fortress	reject_gap	VERB	no already-enabled word covers this sense yet
fortresses	form	NOUN_PL	fortress
found	form	VERB_TRANS_ED	find
four	ban	-	counts are digits: write "3 files", not "three files" (ADR 0022)
fraction	form	NOUN_SG	fraction
fraction	reject_advice	VERB	the verb sense (chemistry jargon — to separate into fractions) is not enabled; angloform allows one sense per word
fractional	form	ADJ_LONG	fractional
fractions	form	NOUN_PL	fraction
frame	form	NOUN_SG	frame
frame	reject_advice	VERB	the verb sense ("to frame a picture"; "to frame someone for a crime") is not enabled; angloform allows one sense per word
frames	form	NOUN_PL	frame
free	form	ADJ	free
free	reject_advice	ADV	the adverbial sense ("run free", "get in free") is not enabled; angloform has no adverb category
free	reject_advice	NOUN	the reference data attests a noun use of "free"; no common meaning could be confirmed — not enabled
free	reject_advice	VERB	the verb sense ("to free a prisoner") is not enabled; angloform allows one sense per word
freer	form	ADJ_CMP	free
freest	form	ADJ_SUP	free
frequencies	form	NOUN_PL	frequency
frequency	form	NOUN_SG	frequency
friday	form	NOUN_SG	friday
fridays	form	NOUN_PL	friday
friend	form	NOUN_SG	friend
friend	reject_advice	VERB	the verb sense (modern — "to friend someone", on social media) is not enabled; angloform allows one sense per word
friends	form	NOUN_PL	friend
friendship	form	NOUN_SG	friendship
friendships	form	NOUN_PL	friendship
from	form	PREP_V	from
front	form	NOUN_SG	front
front	reject_advice	ADJ	the adjective (attributive) sense ("the front door") is not enabled; angloform allows one sense per word
front	reject_advice	VERB	the verb sense ("to front a band"; "to front someone money") is not enabled; angloform allows one sense per word
fronted	ban	-	write "at the front": "the text at the front of the sentence"
fronts	form	NOUN_PL	front
full	form	ADJ	full
full	reject_advice	ADV	the adverbial sense ("know full well", "full in the face") is not enabled; angloform has no adverb category
full	reject_advice	NOUN	the noun sense ("paid in full") is not enabled; angloform allows one sense per word
full	reject_advice	VERB	the verb sense (archaic textile term — "to full cloth") is not enabled; angloform allows one sense per word
fuller	form	ADJ_CMP	full
fullest	form	ADJ_SUP	full
function word	term	-	Function Word
function words	term	-	Function Words
funeral	form	NOUN_SG	funeral
funerals	form	NOUN_PL	funeral
future	form	ADJ_LONG	future
future	reject_advice	NOUN	the noun sense (the future; also a financial "future") is not enabled; angloform allows one sense per word
gain	form	VERB_TRANS_BASE	gain
gain	reject_advice	NOUN	the noun sense (a gain) is not enabled; angloform allows one sense per word
gained	form	VERB_TRANS_ED	gain
gaining	form	VERB_TRANS_ING	gain
gains	form	VERB_TRANS_3SG	gain
game	form	NOUN_SG	game
game	reject_gap	ADJ	no already-enabled word covers this sense yet
game	reject_gap	VERB	no already-enabled word covers this sense yet
games	form	NOUN_PL	game
gap	term	-	Gap
gaps	term	-	Gaps
gather	form	VERB_TRANS_BASE	gather
gather	reject_advice	NOUN	the noun sense (sewing jargon — a gather in fabric) is not enabled; angloform allows one sense per word
gathered	form	VERB_TRANS_ED	gather
gathering	form	VERB_TRANS_ING	gather
gathers	form	VERB_TRANS_3SG	gather
gave	form	VERB_TRANS_ED	give
general	form	ADJ_LONG	general
general	reject_advice	NOUN	the noun sense (a general, the military rank) is not enabled; angloform allows one sense per word
general	reject_advice	VERB	the reference data attests a verb use of "general"; no common meaning could be confirmed — not enabled
generated	form	ADJ_LONG	generated
generated	reject_advice	VERB	"generated" is the past participle of the verb "generate" (deliberately not enabled); angloform allows one sense per word
generator	form	NOUN_SG	generator
generators	form	NOUN_PL	generator
generic	form	ADJ_LONG	generic
generic	reject_advice	NOUN	the noun sense (a generic — an unbranded product or drug) is not enabled; angloform allows one sense per word
geographies	form	NOUN_PL	geography
geography	form	NOUN_SG	geography
geometries	form	NOUN_PL	geometry
